yearRequest,monthRequest,dateRequest,yearClosed,monthClosed,dateClosed,srvrequestid,caseagedays,status,servicename,latitude,longitude,district
2021,Jan,2021-01-10,2021,Jan,2021-01-10,3200195,0,Closed,Pothole,32.7630907,-117.1212,3
2021,Mar,2021-03-25,2021,Mar,2021-03-25,3293046,0,Closed,Pothole,32.7167881,-117.16341,3
2021,Jan,2021-01-12,2021,Jan,2021-01-22,3201988,10,Closed,Pothole,32.7313616,-117.16726,3
2021,Jan,2021-01-21,2021,Jan,2021-01-30,3214074,9,Closed,Pothole,32.8644988,-117.23641,1
2021,Feb,2021-02-26,,,,3257267,31,In Process,Pothole,32.5546439,-117.04402,8
2021,Feb,2021-02-27,,,,3258681,30,In Process,Pothole,32.7190216,-117.15667,3
2021,Feb,2021-02-27,2021,Mar,2021-03-02,3259330,3,Closed,Pothole,32.6937616,-117.13588,8
2021,Feb,2021-02-27,,,,3259331,29,In Process,Pothole,32.7479333,-117.07708,9
2021,Feb,2021-02-27,2021,Mar,2021-03-02,3259332,3,Closed,Pothole,32.6937616,-117.13589,8
2021,Feb,2021-02-27,2021,Mar,2021-03-01,3259335,2,Closed,Pothole,32.6936383,-117.1359,8
2021,Mar,2021-03-27,,,,3295109,2,In Process,Pothole,32.8013403,-117.07179,7
2021,Mar,2021-03-27,,,,3295110,2,In Process,Pothole,32.8005929,-117.06244,7
2021,Jan,2021-01-04,2021,Jan,2021-01-04,3192654,0,Closed,Pothole,32.7496244,-117.09807,9
2021,Jan,2021-01-04,2021,Jan,2021-01-04,3192684,0,Closed,Pothole,32.6975422,-117.02583,4
2021,Jan,2021-01-04,2021,Jan,2021-01-19,3192784,15,Closed,Pothole,32.680487,-117.11834,8
2021,Jan,2021-01-04,2021,Jan,2021-01-04,3192804,0,Closed,Pothole,32.8109042,-117.17792,6
2021,Jan,2021-01-04,2021,Jan,2021-01-12,3192824,8,Closed,Pothole,33.0197539,-117.07051,5
2021,Jan,2021-01-04,2021,Jan,2021-01-21,3192850,17,Closed,Pothole,32.9878273,-117.07799,5
2021,Jan,2021-01-05,2021,Jan,2021-01-05,3194044,0,Closed,Pothole,32.7478837,-117.15498,3
2021,Jan,2021-01-04,2021,Jan,2021-01-21,3192872,17,Closed,Pothole,32.9816661,-117.07378,5
2021,Jan,2021-01-04,2021,Jan,2021-01-05,3192886,1,Closed,Pothole,32.5728323,-117.09194,8
2021,Jan,2021-01-04,2021,Jan,2021-01-11,3192974,7,Closed,Pothole,32.8188852,-117.15308,6
2021,Jan,2021-01-04,2021,Jan,2021-01-19,3193004,15,Closed,Pothole,32.568523,-117.07113,8
2021,Jan,2021-01-04,2021,Jan,2021-01-12,3193017,8,Closed,Pothole,32.7496637,-117.20614,2
2021,Jan,2021-01-04,2021,Jan,2021-01-11,3193075,7,Closed,Pothole,32.8146341,-117.17949,6
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193194,3,Closed,Pothole,32.8122178,-117.21475,2
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193240,3,Closed,Pothole,32.7313979,-117.25403,2
2021,Jan,2021-01-04,2021,Jan,2021-01-12,3193274,8,Closed,Pothole,32.7514316,-117.2059,2
2021,Jan,2021-01-04,2021,Jan,2021-01-13,3193290,9,Closed,Pothole,32.7112207,-117.03007,4
2021,Jan,2021-01-04,2021,Jan,2021-01-11,3193313,7,Closed,Pothole,32.723414,-117.13083,3
2021,Jan,2021-01-04,2021,Jan,2021-01-05,3193320,1,Closed,Pothole,32.7691716,-117.11965,3
2021,Jan,2021-01-04,2021,Feb,2021-02-05,3193503,32,Closed,Pothole,32.5572799,-117.04922,8
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193555,3,Closed,Pothole,32.7767573,-117.20989,2
2021,Jan,2021-01-04,2021,Jan,2021-01-26,3193580,22,Closed,Pothole,32.7357735,-117.11054,9
2021,Jan,2021-01-04,2021,Jan,2021-01-11,3193604,7,Closed,Pothole,32.9282347,-117.144,6
2021,Jan,2021-01-04,2021,Jan,2021-01-14,3193610,10,Closed,Pothole,32.807686,-117.21112,2
2021,Jan,2021-01-04,2021,Jan,2021-01-05,3193632,1,Closed,Pothole,32.7496042,-117.09557,9
2021,Jan,2021-01-04,2021,Jan,2021-01-05,3193744,1,Closed,Pothole,32.8094703,-117.20114,2
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193745,3,Closed,Pothole,32.8099158,-117.20115,2
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193747,3,Closed,Pothole,32.8105464,-117.20114,2
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193749,3,Closed,Pothole,32.8109908,-117.20117,2
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193758,3,Closed,Pothole,32.81561,-117.15049,6
2021,Jan,2021-01-04,2021,Jan,2021-01-05,3193759,1,Closed,Pothole,32.8201444,-117.1685,6
2021,Jan,2021-01-04,2021,Jan,2021-01-07,3193767,3,Closed,Pothole,32.8172425,-117.14972,6
2021,Jan,2021-01-04,2021,Jan,2021-01-05,3193854,1,Closed,Pothole,32.7496018,-117.09711,9
2021,Jan,2021-01-04,2021,Jan,2021-01-19,3193910,15,Closed,Pothole,32.773518,-117.15404,7
2021,Jan,2021-01-05,2021,Jan,2021-01-05,3194003,0,Closed,Pothole,32.8326889,-117.1534,6
2021,Jan,2021-01-05,2021,Jan,2021-01-21,3194114,16,Closed,Pothole,32.9941969,-117.07759,5
2021,Jan,2021-01-05,2021,Jan,2021-01-13,3194352,8,Closed,Pothole,32.732073,-117.20937,2
2021,Jan,2021-01-05,2021,Jan,2021-01-27,3194371,22,Closed,Pothole,32.9048881,-117.12413,6
2021,Jan,2021-01-05,2021,Jan,2021-01-05,3194385,0,Referred,Pothole,32.7896429,-117.09738,7
2021,Jan,2021-01-05,2021,Jan,2021-01-22,3194426,17,Closed,Pothole,32.7902387,-117.10199,7
2021,Jan,2021-01-05,2021,Jan,2021-01-12,3194475,7,Closed,Pothole,32.7532148,-117.1043,9
2021,Jan,2021-01-05,2021,Jan,2021-01-13,3194526,8,Closed,Pothole,32.7173692,-117.03188,4
2021,Jan,2021-01-05,2021,Jan,2021-01-27,3194539,22,Closed,Pothole,32.7465172,-117.15588,3
