pksummaryid,year_actual,quarter_name,month_actual,month_name,status,cnt_new,cnt_inprocess,cnt_closed,cnt_referred,total_cnt
1,2016,3Q-2016,8,Aug,Closed,0,0,433,0,433
2,2016,4Q-2016,11,Nov,Closed,0,0,570,0,570
3,2016,3Q-2016,9,Sep,Referred,0,0,0,19,19
4,2016,2Q-2016,6,Jun,Closed,0,0,833,0,833
5,2016,3Q-2016,9,Sep,Closed,0,0,574,0,574
6,2016,2Q-2016,5,May,Closed,0,0,232,0,232
7,2016,2Q-2016,6,Jun,Referred,0,0,0,27,27
8,2016,1Q-2017,1,Jan,Closed,0,0,63,0,63
9,2016,4Q-2016,10,Oct,Closed,0,0,511,0,511
10,2016,1Q-2017,1,Jan,Referred,0,0,0,2,2
11,2016,3Q-2016,7,Jul,Referred,0,0,0,22,22
12,2016,3Q-2016,7,Jul,Closed,0,0,455,0,455
13,2016,3Q-2016,8,Aug,Referred,0,0,0,26,26
14,2016,2Q-2016,5,May,Referred,0,0,0,5,5
15,2016,4Q-2016,12,Dec,Referred,0,0,0,38,38
16,2016,4Q-2016,11,Nov,Referred,0,0,0,14,14
17,2016,4Q-2016,12,Dec,Closed,0,0,1076,0,1076
18,2016,4Q-2016,10,Oct,Referred,0,0,0,14,14
19,2017,4Q-2017,10,Oct,Referred,0,0,0,29,29
20,2017,2Q-2017,6,Jun,Closed,0,0,1252,0,1252
21,2017,1Q-2017,2,Feb,Closed,0,0,3243,0,3243
22,2017,4Q-2017,12,Dec,In Process,0,1,0,0,1
23,2017,2Q-2017,6,Jun,Referred,0,0,0,31,31
24,2017,2Q-2017,5,May,Referred,0,0,0,28,28
25,2017,4Q-2017,11,Nov,Closed,0,0,720,0,720
26,2017,4Q-2017,11,Nov,In Process,0,2,0,0,2
27,2017,1Q-2017,3,Mar,Closed,0,0,3854,0,3854
28,2017,3Q-2017,8,Aug,Closed,0,0,784,0,784
29,2017,1Q-2017,1,Jan,In Process,0,1,0,0,1
30,2017,1Q-2017,2,Feb,Referred,0,0,0,98,98
31,2017,1Q-2017,1,Jan,Referred,0,0,0,99,99
32,2017,4Q-2017,11,Nov,Referred,0,0,0,18,18
33,2017,3Q-2017,7,Jul,Closed,0,0,999,0,999
34,2017,4Q-2017,10,Oct,Closed,0,0,720,0,720
35,2017,3Q-2017,9,Sep,Closed,0,0,607,0,607
36,2017,2Q-2017,5,May,Closed,0,0,1867,0,1867
37,2017,1Q-2017,3,Mar,Referred,0,0,0,103,103
38,2017,3Q-2017,9,Sep,Referred,0,0,0,23,23
39,2017,2Q-2017,4,Apr,Referred,0,0,0,27,27
40,2017,1Q-2017,1,Jan,Closed,0,0,6562,0,6562
41,2017,3Q-2017,7,Jul,Referred,0,0,0,21,21
42,2017,3Q-2017,8,Aug,Referred,0,0,0,32,32
43,2017,2Q-2017,4,Apr,Closed,0,0,2410,0,2410
44,2017,4Q-2017,12,Dec,Referred,0,0,0,11,11
45,2017,4Q-2017,12,Dec,Closed,0,0,558,0,558
46,2018,2Q-2018,5,May,Referred,0,0,0,20,20
47,2018,1Q-2018,3,Mar,Referred,0,0,0,19,19
48,2018,4Q-2018,10,Oct,Closed,0,0,795,0,795
49,2018,2Q-2018,5,May,In Process,0,1,0,0,1
50,2018,2Q-2018,6,Jun,Closed,0,0,784,0,784
51,2018,4Q-2018,11,Nov,Referred,0,0,0,37,37
52,2018,1Q-2018,1,Jan,Referred,0,0,0,28,28
53,2018,1Q-2018,2,Feb,Closed,0,0,952,0,952
54,2018,3Q-2018,8,Aug,In Process,0,1,0,0,1
55,2018,1Q-2018,1,Jan,In Process,0,1,0,0,1
56,2018,2Q-2018,6,Jun,In Process,0,2,0,0,2
57,2018,1Q-2018,2,Feb,Referred,0,0,0,25,25
58,2018,4Q-2018,10,Oct,Referred,0,0,0,37,37
59,2018,4Q-2018,12,Dec,In Process,0,2,0,0,2
60,2018,3Q-2018,8,Aug,Closed,0,0,672,0,672
61,2018,3Q-2018,8,Aug,Referred,0,0,0,29,29
62,2018,1Q-2018,3,Mar,Closed,0,0,1604,0,1604
63,2018,3Q-2018,7,Jul,Referred,0,0,0,24,24
64,2018,3Q-2018,9,Sep,In Process,0,3,0,0,3
65,2018,4Q-2018,12,Dec,Closed,0,0,1243,0,1243
66,2018,3Q-2018,7,Jul,Closed,0,0,655,0,655
67,2018,3Q-2018,7,Jul,In Process,0,6,0,0,6
68,2018,2Q-2018,4,Apr,Closed,0,0,1439,0,1439
69,2018,3Q-2018,9,Sep,Closed,0,0,652,0,652
70,2018,3Q-2018,9,Sep,Referred,0,0,0,21,21
71,2018,4Q-2018,12,Dec,Referred,0,0,0,45,45
72,2018,2Q-2018,4,Apr,Referred,0,0,0,28,28
73,2018,4Q-2018,10,Oct,In Process,0,1,0,0,1
74,2018,2Q-2018,6,Jun,Referred,0,0,0,31,31
75,2018,2Q-2018,5,May,Closed,0,0,1055,0,1055
76,2018,1Q-2018,1,Jan,Closed,0,0,1127,0,1127
77,2018,4Q-2018,11,Nov,Closed,0,0,573,0,573
78,2019,1Q-2019,1,Jan,Closed,0,0,1995,0,1995
79,2019,2Q-2019,4,Apr,In Process,0,3,0,0,3
80,2019,2Q-2019,6,Jun,Referred,0,0,0,40,40
81,2019,3Q-2019,9,Sep,Referred,0,0,0,32,32
82,2019,4Q-2019,11,Nov,Referred,0,0,0,32,32
83,2019,4Q-2019,11,Nov,Closed,0,0,927,0,927
84,2019,1Q-2019,1,Jan,Referred,0,0,0,64,64
85,2019,2Q-2019,4,Apr,Referred,0,0,0,43,43
86,2019,1Q-2019,3,Mar,In Process,0,12,0,0,12
87,2019,2Q-2019,4,Apr,Closed,0,0,1285,0,1285
88,2019,2Q-2019,6,Jun,Closed,0,0,1138,0,1138
89,2019,1Q-2019,1,Jan,In Process,0,8,0,0,8
90,2019,3Q-2019,7,Jul,Referred,0,0,0,20,20
91,2019,4Q-2019,12,Dec,Referred,0,0,0,61,61
92,2019,4Q-2018,12,Dec,Closed,0,0,21,0,21
93,2019,4Q-2019,11,Nov,In Process,0,16,0,0,16
94,2019,3Q-2019,7,Jul,In Process,0,3,0,0,3
95,2019,4Q-2019,10,Oct,In Process,0,11,0,0,11
96,2019,1Q-2019,2,Feb,Referred,0,0,0,153,153
97,2019,3Q-2019,7,Jul,Closed,0,0,838,0,838
98,2019,1Q-2019,2,Feb,In Process,0,9,0,0,9
99,2019,4Q-2019,12,Dec,In Process,0,15,0,0,15
100,2019,3Q-2019,8,Aug,In Process,0,2,0,0,2
101,2019,1Q-2019,3,Mar,Closed,0,0,2523,0,2523
102,2019,4Q-2019,12,Dec,Closed,0,0,2391,0,2391
103,2019,2Q-2019,6,Jun,In Process,0,4,0,0,4
104,2019,4Q-2019,10,Oct,Closed,0,0,745,0,745
105,2019,3Q-2019,8,Aug,Closed,0,0,747,0,747
106,2019,1Q-2019,3,Mar,Referred,0,0,0,90,90
107,2019,3Q-2019,8,Aug,Referred,0,0,0,51,51
108,2019,2Q-2019,5,May,Referred,0,0,0,43,43
109,2019,2Q-2019,5,May,Closed,0,0,1379,0,1379
110,2019,4Q-2019,10,Oct,Referred,0,0,0,35,35
111,2019,3Q-2019,9,Sep,In Process,0,10,0,0,10
112,2019,3Q-2019,9,Sep,Closed,0,0,880,0,880
113,2019,4Q-2018,12,Dec,Referred,0,0,0,1,1
114,2019,2Q-2019,5,May,In Process,0,12,0,0,12
115,2019,1Q-2019,2,Feb,Closed,0,0,5109,0,5109
116,2020,1Q-2021,1,Jan,Closed,0,0,73,0,73
117,2020,1Q-2021,1,Jan,In Process,0,1,0,0,1
118,2020,3Q-2020,8,Aug,Referred,0,0,0,28,28
119,2020,4Q-2020,12,Dec,Closed,0,0,804,0,804
120,2020,3Q-2020,7,Jul,Closed,0,0,631,0,631
121,2020,1Q-2020,3,Mar,Referred,0,0,0,42,42
122,2020,1Q-2021,1,Jan,Referred,0,0,0,1,1
123,2020,1Q-2020,3,Mar,Closed,0,0,1617,0,1617
124,2020,2Q-2020,4,Apr,Closed,0,0,1493,0,1493
125,2020,1Q-2020,1,Jan,In Process,0,11,0,0,11
126,2020,2Q-2020,6,Jun,Referred,0,0,0,20,20
127,2020,4Q-2019,12,Dec,Referred,0,0,0,2,2
128,2020,4Q-2020,10,Oct,Referred,0,0,0,44,44
129,2020,4Q-2019,12,Dec,In Process,0,3,0,0,3
130,2020,3Q-2020,8,Aug,Closed,0,0,626,0,626
131,2020,2Q-2020,6,Jun,Closed,0,0,671,0,671
132,2020,2Q-2020,4,Apr,Referred,0,0,0,48,48
133,2020,2Q-2020,6,Jun,In Process,0,6,0,0,6
134,2020,1Q-2020,3,Mar,In Process,0,13,0,0,13
135,2020,3Q-2020,7,Jul,Referred,0,0,0,35,35
136,2020,1Q-2020,1,Jan,Referred,0,0,0,59,59
137,2020,3Q-2020,7,Jul,In Process,0,14,0,0,14
138,2020,3Q-2020,8,Aug,In Process,0,12,0,0,12
139,2020,4Q-2020,10,Oct,Closed,0,0,771,0,771
140,2020,1Q-2020,2,Feb,Referred,0,0,0,54,54
141,2020,3Q-2020,9,Sep,Referred,0,0,0,17,17
142,2020,4Q-2020,11,Nov,In Process,0,15,0,0,15
143,2020,3Q-2020,8,Aug,New,1,0,0,0,1
144,2020,4Q-2020,11,Nov,Closed,0,0,792,0,792
145,2020,4Q-2020,12,Dec,In Process,0,14,0,0,14
146,2020,4Q-2020,10,Oct,New,1,0,0,0,1
147,2020,1Q-2020,2,Feb,In Process,0,16,0,0,16
148,2020,1Q-2020,2,Feb,Closed,0,0,2305,0,2305
149,2020,2Q-2020,5,May,Referred,0,0,0,37,37
150,2020,4Q-2020,11,Nov,Referred,0,0,0,23,23
151,2020,1Q-2020,1,Jan,Closed,0,0,2541,0,2541
152,2020,4Q-2019,12,Dec,Closed,0,0,187,0,187
153,2020,2Q-2020,4,Apr,In Process,0,12,0,0,12
154,2020,4Q-2020,10,Oct,In Process,0,20,0,0,20
155,2020,2Q-2020,5,May,In Process,0,7,0,0,7
156,2020,4Q-2020,12,Dec,Referred,0,0,0,19,19
157,2020,2Q-2020,5,May,Closed,0,0,822,0,822
158,2020,3Q-2020,9,Sep,In Process,0,10,0,0,10
159,2020,3Q-2020,9,Sep,Closed,0,0,630,0,630
160,2021,1Q-2021,2,Feb,In Process,0,167,0,0,167
161,2021,1Q-2021,2,Feb,Referred,0,0,0,28,28
162,2021,1Q-2021,1,Jan,In Process,0,14,0,0,14
163,2021,1Q-2021,3,Mar,New,1,0,0,0,1
164,2021,1Q-2021,1,Jan,Referred,0,0,0,22,22
165,2021,1Q-2021,3,Mar,Closed,0,0,809,0,809
166,2021,1Q-2021,1,Jan,Closed,0,0,888,0,888
167,2021,1Q-2021,3,Mar,Referred,0,0,0,43,43
168,2021,1Q-2021,1,Jan,New,1,0,0,0,1
169,2021,1Q-2021,3,Mar,In Process,0,913,0,0,913
170,2021,1Q-2021,2,Feb,Closed,0,0,1137,0,1137
